MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS
2.1854,167.768,9,0.0,-1.68
4.7782,161.14,4,0.0,-1.94
3.794,457.815,4,0.4,-1.77
3.194,162.296,6,0.8,-3.06
1.2021,172.377,3,0.8,-3.7
1.202,391.729,3,0.4,-4.67
0.7614,252.383,8,0.6,-1.05
4.3978,399.52,5,0.8,-2.35
3.205,79.415,3,0.2,-3.33
3.6863,269.407,1,0.2,-0.34
0.5926,65.126,5,0.8,-5.71
4.8646,78.194,1,0.2,-0.9
4.246,457.897,4,0.8,-0.01
1.4555,112.66,5,0.8,-0.68
1.3182,289.589,3,0.6,-1.14
1.3253,234.993,2,0.8,-3.75
1.8691,206.304,6,0.6,-4.61
2.8614,454.925,1,0.6,-1.59
2.4438,59.821,5,0.2,-4.17
1.8105,348.705,3,0.0,-4.94
3.2533,483.527,5,0.2,-1.28
1.1277,302.076,3,0.6,-4.12
1.8147,471.57,3,0.0,-0.51
2.1486,73.516,3,0.0,-0.96
2.5523,238.457,8,0.0,-0.91
4.0333,167.071,6,0.6,-1.37
1.3985,378.869,2,0.8,-0.71
2.8141,491.584,2,0.8,-1.17
3.1659,165.439,5,0.4,-2.38
0.709,344.379,5,0.8,-4.23
3.234,139.144,3,0.6,-0.67
1.2674,304.399,8,0.4,-0.96
0.7927,258.77,3,0.4,-3.16
4.77,487.402,8,0.0,-5.77
4.8453,323.837,3,0.8,-2.17
4.1378,207.278,1,0.2,-5.7
1.8708,101.343,1,0.4,-0.44
0.9395,118.061,4,0.6,-0.23
3.579,151.393,3,0.2,-4.86
2.4807,162.935,6,0.2,-1.94
1.0492,432.777,4,0.6,-5.45
2.7283,302.55,5,0.0,-1.62
0.6547,285.526,9,0.6,-3.92
4.5919,101.646,3,0.4,-1.91
1.6645,437.063,1,0.6,-3.76
3.4814,375.266,9,0.6,-5.13
1.9027,80.451,8,0.4,-3.56
2.8403,368.526,9,0.4,-5.32
2.9602,294.592,6,0.6,-2.54
1.3318,86.776,3,0.6,-5.75
4.8631,256.235,2,0.6,-2.84
3.9881,268.113,9,0.8,-0.68
4.7277,124.599,2,0.0,-0.97
4.5267,475.564,8,0.4,-0.7
3.1905,432.489,4,0.8,-0.47
4.6484,351.06,2,0.2,-5.37
0.8982,258.033,4,0.0,-5.23
1.3819,235.294,1,0.4,-2.66
0.7035,342.938,3,0.0,-0.64
1.964,295.444,9,0.2,-0.15
2.249,78.023,1,0.8,-5.72
1.7211,280.626,1,0.4,-3.87
4.2293,412.882,7,0.2,-4.72
2.1054,256.658,0,0.8,-1.46
1.7642,73.38,6,0.8,-2.16
2.9421,403.825,4,0.4,-5.28
1.1342,140.614,7,0.2,-3.1
4.1099,166.379,0,0.8,-1.89
0.8355,124.118,6,0.6,-1.33
4.941,198.597,4,0.6,-5.88
3.9751,390.538,3,0.8,-0.66
1.3942,283.724,6,0.6,-2.58
0.5248,142.197,9,0.2,-1.13
4.1696,445.024,1,0.6,-1.15
3.6809,445.812,0,0.2,-4.86
3.7805,441.76,0,0.6,-5.34
3.9707,157.458,0,0.6,-1.67
0.8332,253.058,4,0.0,-5.06
2.1131,493.245,9,0.4,-0.9
1.0214,397.406,6,0.2,-1.64
4.384,62.225,1,0.2,-0.95
3.3048,79.342,9,0.6,-4.21
1.989,258.769,7,0.2,-4.1
0.786,459.149,3,0.6,-1.97
1.8994,292.416,2,0.0,-5.81
1.9633,274.016,9,0.6,-1.64
3.7832,97.463,7,0.8,-0.99
3.369,345.551,1,0.6,-3.51
4.4925,419.946,2,0.4,-1.41
2.625,221.189,2,0.8,-4.95
1.0382,399.025,9,0.2,-4.07
3.7096,484.014,0,0.0,-0.15
3.9235,141.695,5,0.4,-0.08
3.0257,285.498,1,0.0,-2.92
3.9694,179.212,0,0.8,-0.39
2.7221,406.784,1,0.2,-2.86
2.8523,309.917,5,0.6,-4.25
2.4239,335.562,3,0.6,-4.4
0.6144,409.061,5,0.2,-0.42
0.9855,228.187,8,0.6,-4.97
0.6414,461.791,9,0.0,-2.52
3.3638,289.863,9,0.4,-2.67
1.9146,121.08,7,0.0,-1.56
2.7886,363.155,0,0.8,-3.0
4.584,406.968,7,0.8,-4.37
1.6218,192.543,8,0.2,-4.98
2.3467,435.731,5,0.2,-2.28
3.9,457.764,9,0.6,-1.69
1.5296,174.607,4,0.2,-2.58
0.8464,492.585,5,0.8,-1.57
1.8039,113.32,5,0.4,-5.15
1.2255,140.907,8,0.2,-0.71
4.6836,132.901,3,0.8,-2.51
4.1365,452.295,1,0.4,-5.24
3.3503,344.432,8,0.8,-3.23
4.4216,118.447,1,0.8,-0.93
4.1165,248.146,9,0.0,-0.61
1.3396,326.884,8,0.0,-4.41
4.5165,87.559,1,0.8,-1.73
2.927,447.087,7,0.8,-5.4
4.1335,411.622,8,0.0,-5.8
4.5324,277.343,9,0.8,-2.64
1.931,485.207,8,0.4,-1.83
0.9952,237.992,9,0.2,-1.23
1.5257,492.85,8,0.8,-3.96
2.422,350.564,1,0.0,-5.96
4.1811,335.602,3,0.8,-3.12
4.3733,124.68,6,0.2,-5.9
0.5313,446.867,1,0.6,-5.45
2.7984,242.37,0,0.2,-4.04
2.3783,123.005,2,0.4,-3.38
1.4995,55.673,3,0.6,-4.32
1.0394,301.89,7,0.0,-2.51
2.0193,287.33,5,0.4,-5.67
4.7431,373.709,1,0.4,-5.13
1.9544,450.616,8,0.0,-1.83
2.8346,85.733,1,0.8,-5.15
3.6636,379.173,4,0.2,-2.16
2.1363,134.335,3,0.4,-5.67
4.873,436.18,6,0.4,-3.56
4.831,418.579,7,0.4,-4.94
1.633,293.357,4,0.0,-5.34
2.7376,369.609,9,0.4,-2.6
1.854,191.458,4,0.4,-0.43
1.7818,262.026,1,0.6,-5.67
0.666,419.737,7,0.8,-3.47
3.243,256.669,1,0.4,-1.75
2.7621,211.009,9,0.0,-3.22
0.7317,272.396,5,0.2,-1.16
1.7539,422.712,7,0.0,-4.92
4.5872,200.844,5,0.0,-0.24
1.578,128.193,3,0.2,-3.69
1.152,370.406,3,0.2,-3.95
2.7025,421.69,5,0.2,-0.75
4.9354,95.287,3,0.0,-2.62
1.5892,157.943,7,0.0,-2.9
3.5246,113.887,8,0.0,-1.64
3.9273,206.574,0,0.0,-2.52
1.5694,252.658,3,0.4,-5.02
3.777,386.972,3,0.4,-1.95
2.155,343.016,1,0.0,-5.2
3.3454,329.418,5,0.4,-1.16
3.3509,208.569,2,0.2,-0.06
2.911,428.651,6,0.0,-3.74
